elev_ft_NAVD88,elev_ft_NGVD29,area_ft2,area_m2,area_km2,area_mi2,area_acre,volume_ft3,volume_m3,volume_km3,volume_mi3,volume_acreft
4207.14,4203.66,53352011947,4956564100,4956.56,1913.74,1224788.76,8.63E+11,24449156158,24.45,5.87,19821304.3
4207.15,4203.67,53365576627,4957824300,4957.82,1914.23,1225100.16,8.64E+11,24463911528,24.46,5.87,19833266.7
4207.16,4203.68,53390197188,4960111625,4960.11,1915.11,1225665.37,8.64E+11,24479410939,24.48,5.87,19845832.31
4207.17,4203.69,53403756486,4961371325,4961.37,1915.6,1225976.65,8.65E+11,24494176853,24.49,5.88,19857803.26
4207.18,4203.7,53418728817,4962762300,4962.76,1916.13,1226320.37,8.66E+11,24509685206,24.51,5.88,19870376.12
4207.19,4203.71,53496723304,4970008225,4970.01,1918.93,1228110.87,8.66E+11,24524467922,24.52,5.88,19882360.69
4207.2,4203.72,53511799506,4971408850,4971.41,1919.47,1228456.97,8.67E+11,24540003283,24.54,5.89,19894955.45
4207.21,4203.73,53525706479,4972700850,4972.7,1919.97,1228776.23,8.67E+11,24554802870,24.55,5.89,19906953.7
4207.22,4203.74,53543779622,4974379900,4974.38,1920.62,1229191.13,8.68E+11,24570346861,24.57,5.89,19919555.45
4207.23,4203.75,53557944390,4975695850,4975.7,1921.13,1229516.3,8.68E+11,24585155316,24.59,5.9,19931560.89
4207.24,4203.76,53573281617,4977120725,4977.12,1921.68,1229868.4,8.69E+11,24600708490,24.6,5.9,19944170.09
4207.25,4203.77,53587415708,4978433825,4978.43,1922.18,1230192.87,8.69E+11,24615525106,24.62,5.91,19956182.14
4207.26,4203.78,53610750251,4980601675,4980.6,1923.02,1230728.55,8.70E+11,24630347940,24.63,5.91,19968199.24
4207.27,4203.79,53625379482,4981960775,4981.96,1923.55,1231064.39,8.70E+11,24645916301,24.65,5.91,19980820.75
4207.28,4203.8,53640228565,4983340300,4983.34,1924.08,1231405.28,8.71E+11,24660747397,24.66,5.92,19992844.55
